point_cloud,n_pts,dim,filtration,tau_q,tau
ell_gaussian_eta0.2_rot,50,20,dtm,0.95,4.404333473172306
ell_gaussian_eta0.2_rot,100,5,vr,0.95,1.7014455536535744
ell_gaussian_eta0.2_rot,100,5,dtm,0.95,1.2437306528550807
ell_gaussian_eta0.2_rot,100,10,vr,0.95,2.950779510034492
ell_gaussian_eta0.2_rot,100,10,dtm,0.95,2.3932955787154766
ell_gaussian_eta0.2_rot,100,20,vr,0.95,4.818777504267305
ell_gaussian_eta0.2_rot,100,20,dtm,0.95,4.127627636750175
ell_gaussian_eta0.1_rot,10,5,vr,0.95,2.8203630558389867
ell_gaussian_eta0.1_rot,10,5,dtm,0.95,2.235544474590458
ell_gaussian_eta0.1_rot,10,10,vr,0.95,4.25735881492938
ell_gaussian_eta0.1_rot,10,10,dtm,0.95,3.6102906540632014
ell_gaussian_eta0.1_rot,10,20,vr,0.95,6.130959749932851
ell_gaussian_eta0.1_rot,10,20,dtm,0.95,5.528302253112348
ell_gaussian_eta0.1_rot,50,5,vr,0.95,1.975579941550004
ell_gaussian_eta0.1_rot,50,5,dtm,0.95,1.4399932275345504
ell_gaussian_eta0.1_rot,50,10,vr,0.95,3.3162014336143724
ell_gaussian_eta0.1_rot,50,10,dtm,0.95,2.641553504069794
ell_gaussian_eta0.1_rot,50,20,vr,0.95,5.152537224707148
ell_gaussian_eta0.1_rot,50,20,dtm,0.95,4.434317308942977
ell_gaussian_eta0.1_rot,100,5,vr,0.95,1.6951176713639313
ell_gaussian_eta0.1_rot,100,5,dtm,0.95,1.2539660483549415
ell_gaussian_eta0.1_rot,100,10,vr,0.95,2.973336242006589
ell_gaussian_eta0.1_rot,100,10,dtm,0.95,2.3838075827864524
ell_gaussian_eta0.1_rot,100,20,vr,0.95,4.8087708917257705
ell_gaussian_eta0.1_rot,100,20,dtm,0.95,4.123333789379671
ell_gaussian_eta0.05_rot,10,5,vr,0.95,2.811153072104875
ell_gaussian_eta0.05_rot,10,5,dtm,0.95,2.189214822644329
ell_gaussian_eta0.05_rot,10,10,vr,0.95,4.240119764331467
ell_gaussian_eta0.05_rot,10,10,dtm,0.95,3.5789872917865972
ell_gaussian_eta0.05_rot,10,20,vr,0.95,6.052706338107583
ell_gaussian_eta0.05_rot,10,20,dtm,0.95,5.503544384076465
ell_gaussian_eta0.05_rot,50,5,vr,0.95,1.961201242109245
ell_gaussian_eta0.05_rot,50,5,dtm,0.95,1.4541113891553452
ell_gaussian_eta0.05_rot,50,10,vr,0.95,3.2883547635658354
ell_gaussian_eta0.05_rot,50,10,dtm,0.95,2.6728087526297886
ell_gaussian_eta0.05_rot,50,20,vr,0.95,5.127412574212422
ell_gaussian_eta0.05_rot,50,20,dtm,0.95,4.470224955330678
ell_gaussian_eta0.05_rot,100,5,vr,0.95,1.7170942695811469
ell_gaussian_eta0.05_rot,100,5,dtm,0.95,1.2497057412319286
ell_gaussian_eta0.05_rot,100,10,vr,0.95,2.9744643757037004
ell_gaussian_eta0.05_rot,100,10,dtm,0.95,2.3964163955418307
ell_gaussian_eta0.05_rot,100,20,vr,0.95,4.814304183874819
ell_gaussian_eta0.05_rot,100,20,dtm,0.95,4.136863721535497
xavier_unit_norm,10,5,vr,0.95,1.245739773792834
xavier_unit_norm,10,5,dtm,0.95,1.0954194295708812
xavier_unit_norm,10,10,vr,0.95,1.2955952917015847
xavier_unit_norm,10,10,dtm,0.95,1.205096269342121
xavier_unit_norm,10,20,vr,0.95,1.329479714084011
xavier_unit_norm,10,20,dtm,0.95,1.262274287235991
xavier_unit_norm,50,5,vr,0.95,0.7867731118891153
